UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 Jul06 ?        00:00:01 /sbin/init
root         2     0  0 Jul06 ?        00:00:00 [kthreadd]
root         3     2  0 Jul06 ?        00:00:00 [ksoftirqd/0]
root         5     2  0 Jul06 ?        00:00:00 [kworker/0:0H]
root         6     2  0 Jul06 ?        00:00:00 [kworker/u30:0]
root         7     2  0 Jul06 ?        00:00:00 [rcu_sched]
root         8     2  0 Jul06 ?        00:00:00 [rcuos/0]
root         9     2  0 Jul06 ?        00:00:00 [rcuos/1]
root        10     2  0 Jul06 ?        00:00:00 [rcuos/2]
root        11     2  0 Jul06 ?        00:00:00 [rcuos/3]
root        12     2  0 Jul06 ?        00:00:00 [rcuos/4]
root        13     2  0 Jul06 ?        00:00:00 [rcuos/5]
root        14     2  0 Jul06 ?        00:00:00 [rcuos/6]
root        15     2  0 Jul06 ?        00:00:00 [rcuos/7]
root        16     2  0 Jul06 ?        00:00:00 [rcuos/8]
root        17     2  0 Jul06 ?        00:00:00 [rcuos/9]
root        18     2  0 Jul06 ?        00:00:00 [rcuos/10]
root        19     2  0 Jul06 ?        00:00:00 [rcuos/11]
root        20     2  0 Jul06 ?        00:00:00 [rcuos/12]
root        21     2  0 Jul06 ?        00:00:00 [rcuos/13]
root        22     2  0 Jul06 ?        00:00:00 [rcuos/14]
root        23     2  0 Jul06 ?        00:00:00 [rcu_bh]
root        24     2  0 Jul06 ?        00:00:00 [rcuob/0]
root        25     2  0 Jul06 ?        00:00:00 [rcuob/1]
root        26     2  0 Jul06 ?        00:00:00 [rcuob/2]
root        27     2  0 Jul06 ?        00:00:00 [rcuob/3]
root        28     2  0 Jul06 ?        00:00:00 [rcuob/4]
root        29     2  0 Jul06 ?        00:00:00 [rcuob/5]
root        30     2  0 Jul06 ?        00:00:00 [rcuob/6]
root        31     2  0 Jul06 ?        00:00:00 [rcuob/7]
root        32     2  0 Jul06 ?        00:00:00 [rcuob/8]
root        33     2  0 Jul06 ?        00:00:00 [rcuob/9]
root        34     2  0 Jul06 ?        00:00:00 [rcuob/10]
root        35     2  0 Jul06 ?        00:00:00 [rcuob/11]
root        36     2  0 Jul06 ?        00:00:00 [rcuob/12]
root        37     2  0 Jul06 ?        00:00:00 [rcuob/13]
root        38     2  0 Jul06 ?        00:00:00 [rcuob/14]
root        39     2  0 Jul06 ?        00:00:00 [migration/0]
root        40     2  0 Jul06 ?        00:00:00 [watchdog/0]
root        41     2  0 Jul06 ?        00:00:00 [khelper]
root        42     2  0 Jul06 ?        00:00:00 [kdevtmpfs]
